JO_REQST_NO,JO_REGIST_NO,CMPNY_NM,BSNS_SUMRY_CN,RCRIT_JSSFC_CMMN_CODE_SE,JOBCODE_NM,RCRIT_NMPR_CO,ACDMCR_CMMN_CODE_SE,ACDMCR_NM,EMPLYM_STLE_CMMN_CODE_SE,EMPLYM_STLE_CMMN_MM,WORK_PARAR_BASS_ADRES_CN,SUBWAY_NM,DTY_CN,CAREER_CND_CMMN_CODE_SE,CAREER_CND_NM,HOPE_WAGE,RET_GRANTS_NM,WORK_TIME_NM,WORK_TM_NM,HOLIDAY_NM,WEEK_WORK_HR,JO_FEINSR_SBSCRB_NM,RCEPT_CLOS_NM,RCEPT_MTH_IEM_NM,MODEL_MTH_NM,RCEPT_MTH_NM,PRECENTN_PAPERS_NM,MNGR_NM,MNGR_PHON_NO,MNGR_INSTT_NM,BASS_ADRES_CN,JO_SJ,JO_REG_DT,GUI_LN,latitude,longitude
J322202312200003,DdA3222312202035,한전FMS주식회사,한전 사옥 관리(청소·시설관리·경비) 서비스,29104,데스크 안내원,1,J00100,관계없음,J01102,계약직,서울 서초구.,양재,"[담당업무]
 -한전아트센터 사옥 내 안내데스크 등 기타경비 업무
 (근무지 : 서울시 서초구 효령로 72길 60, 한전아트센터 한전FMS(주)

[자격요건]
 -경력 : 무관

[근무조건]
 -계약기간: 계약직 (~2024.12.31.)
 -근무형태: 주5일 (월~금,08:30~17:30)
 -급여: 월 230여만원(세전)

*팩스지원시 &quot;한전아트센터 안내데스크 지원&quot; 기재 필수.",J01300,무관,월급 / 230만원 ,해당없음,08:30~17:30 (휴게 1시간),주간,주5일근무,40,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-18),,서류  면접   ,팩스 기타  ,,이재경,02-2155-6683,서초구,전라남도 나주시 상야1길 예가람타워 5층,한전에프엠에스 한전아트센터 현관안내 계약직 채용,2023-12-20,(월급)230만원 / 서울 서초구 / 경력 무관,,
J319202401110002,DdA3192401112011,(주)듀델코리아,건물관리 경비업 위생관리,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,J00100,관계없음,J01102,계약직,서울 강남구,구룡,"강남 개포우성3차 아파트
미화원
월급 1.542.400원
09:00~16:00 (휴게시간 1시간)
주5일 근무

전화지원 : 010-4277-9293 김순자 반장

* 수인분당선 -구룡역-1번 출구 -도보 7분",J01300,무관,월급 / 154만원 ,해당없음,09:00~16:00,주간,주5일근무,29,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-18),사무실,서류  면접   ,기타   ,,임정희,02-2670-3798,영등포구,서울특별시 구로구 개봉로6길 12 -5 (개봉동) 1142 한아마인드@상가 802,아파트 미화원 - 개포우성3차 아파트,2024-01-11,(월급)154만원 / 서울 강남구 / 경력 무관,,
J321202401260002,DdA3212401262011,"효,보살핌데이케어센터",주.야간 보호시설,550103,시설 요양보호사(노인요양사),3,J00100,관계없음,J01101,상용직,서울 관악구,,"[효,보살핌데이케어센터] 어르신 송영 및 요양보호사 기본 업무
근무시간 : 09:00~18:00(휴게시간 : 12:00~13:00)
급여 : 월 210만원
접수방법 : 방문, 팩스(02-888-0084), 이메일(bosalpimdaycare@naver.com)
* 인근 거주자 운전가능자, 치매교육이수자 우대
* 근무시간은 회사 업무에 따라 협의 후 조정 가능",J01300,무관,월급 / 210만원 - 면접 후 협의가능 ,퇴직금,09:00~18:00,주간,주5일근무,40,고용보험 산재보험 건강보험 국민연금,마감일 (2024-02-17),,서류  면접   ,방문 팩스 기타 ,,조현숙,02-879-5773,관악구,서울특별시 관악구 은천로 51  (봉천동) 은호빌딩(4층),"[은천동 효,보살핌데이케어센터] 요양보호사 채용합나다. &lt;&lt;2월 17일 마감&gt;&gt;",2024-01-26,(월급)210만원 / 서울 관악구 / 경력 무관,,
J001202401220014,DdA0402401222048,쉐레이오피스텔자치관리사무소,관리사무소,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",1,J00104,중학교,J01101,상용직,서울 종로구쉐레이오피스텔,,"근무지 : 서울특별시 종로구 진흥로 432
급여 : 1,805,000원
근무 시간 : 주 5일 근무(월 -금),  7시간 근무( 휴게시간 1시간 ) 08 :00 -16 : 00
우대 : 인근 거주자, 유경험자
복리후생 : 4대 보험, 퇴직금 등


* 2/19경부터 근무 가능한 분",J01300,무관,시급 / 9860원 ,퇴직금,08:00 - 16:00,주간,주5일근무,35,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-15),관리사무소,서류  면접   ,방문 팩스 기타 ,,이유경,02-731-9534,서울일자리센터 취업상담팀,서울특별시 종로구 진흥로 432  (구기동) 쉐레이오피스텔자치관리사무소 지하 1층,[종로구 구기동] 오피스텔 미화원 모집,2024-01-22,(시급)9860원 / 서울 종로구 / 경력 무관,,
J001202401260007,DdA0022401262005,늘평안재가복지센터,방문요양 서비스,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 강서구,까치산,"4등급 어르신(거동가능하심)
말벗,산책,청소,가사",J01300,무관,시급 / 12400원 ,퇴직금,10:00~13:00,주간,주5일근무,15,고용보험 산재보험 건강보험 국민연금,마감일 (2024-02-15),,면접    ,기타   ,,황효선,02-731-9508,서울일자리센터 청년일자리센터,충청남도 아산시 시민로 380  (온천동) (온양관광호텔맞은편),화곡동 4등급 여자어르신 재가요양보호사 채용 10:00~13:00,2024-01-26,(시급)12400원 / 서울 강서구 / 경력 무관,,
J316202401170001,DdA3162401172011,강서도시가스 주식회사,"도시가스 검침, 송달, 안전점검, 계량기교체, 전출시 요금정산, 가스렌지 연결 및 교체",562100,계기 검침원 및 가스 점검원,2,J00106,고등학교,J01101,상용직,서울 강서구2층,까치산,"도시가스 검침, 송달, 안전점검 등 외근(관리지역 화곡8동, 화곡본동)
-근로시간: 09:00~18:00 (주 5일)
-급여: 239만원
-수습기간 3개월
※이력서접수: 이메일(seoulgasseobu2@naver.com) 또는 팩스(02-2691-7793)",J01300,무관,월급 / 239만원 ,퇴직연금,09:00~18:00,주간,주5일근무,40,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-15),당사 사무실,서류  면접  기타 ,상담사알선   ,,이춘순,02-2600-6250,강서구,서울특별시 강서구 곰달래로 211  (화곡동) 2층,도시가스 안전점검 검침원,2024-01-17,(월급)239만원 / 서울 강서구 / 경력 무관,,
J318202312150001,DdA3182312152035,시흥동943번지 일원 LH참여형 가로주택정비사업조합,가로주택정비사업조합,29506,사무 보조원(일반사업체),1,J00100,관계없음,J01105,상용직(시간제),서울 금천구2층,석수,"가로주택정비사업 조합 일반 행정, 사무 업무


수습기간 2개월 있음.",J01300,무관,최소연봉 / 3200만원 ,퇴직금,09:00~18:00,주간,주5일근무,40,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-14),,   ,온라인 전자우편  ,,이수미,02-2627-1150,금천구,서울특별시 금천구 시흥대로28길 47 -9 (시흥동) 2층,[가로주택정비사업 조합사무실] 일반 사무직 채용,2023-12-15,(연봉)3200만원 / 서울 금천구 / 경력 무관,,
J001202401100034,DdA0402401102076,서울시립망우청소년센터,"청소년육성, 수영장운영, 스포츠시설 운영, 교육문화",420400,"스포츠강사, 레크리에이션강사 및 기타 관련 전문가",1,J00100,관계없음,J01102,계약직,서울 중랑구,양원,"유아체육
수영지도 및 안전사고 예방 관리
회원관리 및 민원 응대",J01302,경력,월급 / 250만원 - 면접 후 협의가능 ,퇴직연금,09:00~18:00,주간,주5일근무,40,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-13),시립망우청소년센터,서류  면접   ,기타   ,,이유경,02-731-9534,서울일자리센터 취업상담팀,서울특별시 중랑구 송림길 156  (망우동) 망우청소년센터,시립망우청소년센터 직원 채용 공고_생활체육지도자,2024-01-10,(월급)250만원 / 서울 중랑구 / 경력,37.605969,127.108815
J001202401110002,DdA0402401112005,가나플러스복지센터,노인재가복지,550104,재가 요양보호사,1,J00100,관계없음,J01101,상용직,서울 도봉구3층,,방학동에 거주하시는 4등급 어르신(여 만75세) 케어 해주실 요양 보호사님 모집합니다.,J01300,무관,시급 / 15000원 ,퇴직금,12:00~15:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-11),,   ,온라인 방문 기타 ,,허영철,02-731-9535,서울일자리센터 취업상담팀,서울특별시 노원구 상계로35길 2  (상계동) 3층,[방학동] 4등급 여자어르신 케어해주실 요양 보호사님 모집합니다.,2024-01-11,(시급)15000원 / 서울 도봉구 / 경력 무관,,
J316202312200008,DdA3162312202036,가가호호방문요양센터,방문요양(재가).방문목욕,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 강서구(방화동),신방화,"-요양보호대상자: 4등급 할아버지(독거,거동가능)
-직무내용:일상생활 도움(청소, 식사)
-근로시간: 9:30~12:30 (주 6일)
-시급: 12.400원
-통화후 면접: 010 3020 7712",J01300,무관,시급 / 12400원 ,퇴직금,09:30~12;30,주간,주6일근무,18,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-11),,면접    ,방문 기타  ,,서영원,02-2600-6520,강서구,서울특별시 강서구 금낭화로 135  (방화동) (금강프라자),"신방화역) 4등급어르신,9:30~12:30 (주6일), 도움주실 요양보호사 구인",2023-12-20,(시급)12400원 / 서울 강서구 / 경력 무관,,
J001202401110001,DdA0022401112005,가나플러스복지센터,노인재가복지,550104,재가 요양보호사,1,J00100,관계없음,J01105,상용직(시간제),서울 노원구,당고개,"당고개 근방에 거주하시는 
3등급 여자(만 85세)어르신
 케어해주실 요양보호사님 모집합니다.",J01300,무관,시급 / 12500원 ,퇴직금,12:00~15:00,주간,주5일근무,15,고용보험 산재보험 건강보험 국민연금,마감일 (2024-02-11),,면접    ,방문 기타  ,,임우식,02-731-9520,서울일자리센터 청년일자리센터,서울특별시 노원구 상계로35길 2  (상계동) 3층,"(상계동, 3등급 여자어르신,12:00~15:00)케어하실 요양보호사님 모집합니다.",2024-01-11,(시급)12500원 / 서울 노원구 / 경력 무관,,
J307202401240007,DdA3072401242072,주식회사케이에스메이트,"시설유지관리, 시설,미화,보안,주차, 조경관리",550103,시설 요양보호사(노인요양사),2,J00100,관계없음,J01105,상용직(시간제),서울 서초구,,"- 서울 북부병원 의무보조원(여자)
- 병동업무보조,기타 의료보조업무, 통합병동 간병서비스
- 경력무관(경력자우대), 요양보호사 자격증 우대
- 오전 06:30-15:30, 오후 14:30-23:30, 야간 22:30-익일 07:30
- 3교대 스케줄 근무, 휴게시간 각 1시간
- 월 230만원
- 전화문의 : 소장 010-5214-7955
- 워크넷연계위해 주5일로 표기",J01300,무관,월급 / 230만원 ,퇴직금,직무내용참조,주간,주5일근무,37,고용보험 산재보험 건강보험 국민연금,마감일 (2024-02-10),,면접    ,전자우편   ,,구현옥,02-2094-2245,중랑구,"서울특별시 용산구 한강대로62나길 17  (용산동3가) , 2층 (용산동3가, 인월빌딩)",서울 북부병원 의무보조원 구인공고,2024-01-24,(월급)230만원 / 서울 중랑구 / 경력 무관,37.471341,127.028959
J323202401290009,DdA3232401292190,강남장손복지센터,"방문요양, 방문목욕, 방문간호, 입주간병 등의 주업무로 하는 노인돌봄종합센터",550104,재가 요양보호사,1,J00100,관계없음,J01102,계약직,서울 강남구,일원,"[일원역/4등급 할머님/오후] 재가요양보호사 구인
: 주5일, 15-18시/ 시급12,600원
: 80대 후반 할머님 척추수술하셨음. 독거. 거동가능. 목욕, 산책, 가사도움
: 근무예정지 강남구 일원동 푸른마을 아파트/ 일원역 6번출구 앞
** 강남장손복지센터 02-459-9988, 010-2137-0901",J01300,무관,시급 / 12600원 ,퇴직금,15-18시,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-10),,면접    ,방문   ,,정성자,02-3423-5588,강남구,서울특별시 강남구 개포로 648  (일원동) 동형빌딩 201호,[일원역/ 4등급 /오후] 재가요양보호사 구인,2024-01-29,(시급)12600원 / 서울 강남구 / 경력 무관,37.494769,127.083699
J001202401240019,DdA0402401252002,시립송파노인전문요양원,장기요양기관 입소시설,307500,간호조무사,1,J00100,관계없음,J01102,계약직,서울 송파구,석촌고분,"가. 필수 : 간호조무사 면허증 소지 필수
나. 우대 : - 요양원, 요양병원, 종합병원 등 근무 경력자 우대
             - 코로나 백신 예방 접종자 우대",J01300,무관,최소연봉 / 2600만원 ,퇴직연금,09:00~18:00/07:00~16:00/13:00~22:00,3교대,기타(교대근무),40,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-09),,서류  면접   ,기타   ,,이유경,02-731-9534,서울일자리센터 취업상담팀,서울특별시 송파구 백제고분로32길 37  (삼전동) 시립송파노인전문요양원,[공고]시립송파노인전문요양원 직원(간호조무사) 채용공고,2024-01-25,(연봉)2600만원 / 서울 송파구 / 경력 무관,37.499111,127.094959
J001202401030029,DdA0402401032066,서울특별시립 남부노인전문요양원,노인요양시설,561500,세탁원(다림질원),1,J00100,관계없음,J01102,계약직,경기 군포시서울특별시립 남부노인전문요양원,,"- 세탁업무(어르신 세탁물 및 오염물 처리)
- 청소업무(요양원 내외부 시설 청소업무 및 분리수거 관리)",J01301,신입,월급 / 210만원 ,퇴직금,07:30~16:30,주간,주5일근무,40,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-09),,면접    ,팩스 전자우편 기타 ,,허영철,02-731-9535,서울일자리센터 취업상담팀,경기도 군포시 고산로 589  (산본동) 서울특별시립 남부노인전문요양원,&lt;긴급&gt;위생원 모집합니다,2024-01-03,(월급)210만원 / 경기 군포시 / 경력 무관,,
J303202401260014,DdA3032401262071,(주)한국고용정보,한국고용정보는 사랑과 믿을을 주는 HR전문기업 입니다.,531205,사업체 구내식당 급식 조리사,1,J00100,관계없음,J01102,계약직,"서울 용산구,",,"★ KB국민은행 용산합숙소 취사원 모집 ★


1. 취사
 - 근무지 : 서울 용산구 원효로 189-5
 - 근무시간 : 주4일 05 : 30 ~ 13 : 30 (7H) + 주2일 15 : 00 ~ 21 : 30 (5.5H)
 - 근무요일 : 주 6일 스케줄 근무 (주 39시간 근무)
 - 급      여 :  월 2,519,650원 (세전) 
 - 업무내용 : 합숙소 취사
 - 우대사항:  유관업무 경력 1년 이상
 - 계약기간 연장 가능성 있음


궁금하신 사항있으시면 하기 채용담당자 연락처로 연락 부탁드립니다.
채용담당자 : 010-5389-9124",J01300,무관,월급 / 251만원 ,해당없음,직무내용 참고,주간,기타(주6일 스케줄근무),39,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-09),,서류  면접   ,팩스 기타  ,,함희영,02-2199-4537,용산구,강원특별자치도 춘천시 영서로 2491  (근화동) 1층,[KS한국고용정보] KB국민은행 용산합숙소 취사원 모집,2024-01-26,(월급)251만원 / 서울 용산구 / 경력 무관,,
J313202401240005,DdA3132401262002,현대경복유치원,조리사 및 청소원,531203,유치원·어린이집 급식 조리사,1,J00100,관계없음,J01101,상용직,서울 서대문구(현대경복유치원),무악재,"[홍제동 현대경복유치원 조리사 구인]

-유치원내 유아 점심+간식 조리업무 (유아125명/교사11명)
-근무시간 :10:00~14:00 (주5일)
-급여 : 월140만원
-한식조리사 자격증 필수",J01300,무관,월급 / 140만원 ,퇴직금,10:00 ~ 14:00,주간,주5일근무,20,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-08),현대경복유치원,서류  면접   ,온라인 방문 우편 팩스,,박선영,02-330-1460,서대문구,"서울특별시 서대문구 통일로34길 66  (홍제동) (홍제동, 현대경복유치원)",유치원 조리사 구인,2024-01-26,(월급)140만원 / 서울 서대문구 / 경력 무관,,
J303202401240002,DdA3032401242004,후암어린이집,보육,232100,보육 교사,1,J00100,관계없음,J01101,상용직,서울 용산구후암어린이집,,"*** 이메일 입사지원 ***

[어린이집 보육교사] 

- 보육교사(담임) 업무

- 초대졸이상, 보육교사2급 이상 필수

- 주5일근무 

- 근무시간: 09:00~18:00 (휴게시간 12:00~13:00)

- 급여: 1호봉기준 월 2,172,600원 (호봉기준지급)

- 보육교사2급 이상",J01300,무관,월급 / 217만원 ,퇴직금,09:00~18:00,주간,주5일근무,40,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-08),,서류  면접   ,전자우편   ,,함희영,02-2199-4537,용산구,서울특별시 용산구 두텁바위로1길 86  (후암동) 후암어린이집,[구립 후암어린이집] 보육교사(담임) 모집,2024-01-24,(월급)217만원 / 서울 용산구 / 경력 무관,,
J001202401250022,DdA0022401252034,비지팅엔젤스코리아,"방문요양, 방문목욕, 복지용품",550104,재가 요양보호사,1,J00100,관계없음,J01102,계약직,서울 강남구,수서,"1등급 70대 여자어르신
고관절 수술로 인해 걷지 못하심. 기저귀 케어와 식사준비, 청소",J01302,경력,시급 / 12400원 ,퇴직금,"08:00~11:00, 17:00~18:00",주간,주6일근무,24,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-08),,면접    ,방문 기타  ,,임우식,02-731-9520,서울일자리센터 청년일자리센터,"서울특별시 강남구 테헤란로 310  (역삼동) 역삼동, 두꺼비빌딩 804, 5, 6호","(수서동 수서6단지, 1등급 여자어르신, 오전8~11시, 오후5~6시)) 케어해주실 요양보호사 구인",2024-01-25,(시급)12400원 / 서울 강남구 / 경력,37.502824,127.044638
J001202401230021,DdA0402401232055,선영재가복지센터,"방문요양,재가복지",550104,재가 요양보호사,1,J00100,관계없음,J01101,상용직,서울 동대문구휘경동 주공아파트,,"3등급 남자어르신(식사챙겨드리기, 외출동행, 말벗도움, 가사활동지원)",J01300,무관,시급 / 12500원 ,퇴직금,09:00~12:00,주간,주5일근무,15,국민연금 고용보험 산재보험 건강보험,마감일 (2024-02-08),,면접    ,방문 팩스 기타 ,,허영철,02-731-9535,서울일자리센터 취업상담팀,"서울특별시 동대문구 장한로 201  (장안동) 402호, 장안동",[휘경동] 3등급 남자어르신 재가 방문요양보호사님 구인,2024-01-23,(시급)12500원 / 서울 동대문구 / 경력 무관,,
J001202401290013,DdA0402401292034,송파노인재가복지센터,노인 방문 요양 케어,550104,재가 요양보호사,1,J00100,관계없음,J01103,계약직(시간제),서울 송파구,강동구청,"-시간: 오후14~오후17시 주15시간(6일)  (시간 조절 가능) / 시급12,500원/
-토요일 가능자 환영
-대상: 3등급 90대 여자어르신 
- 거동 가능 정서 및 일상생활지원",J01300,무관,시급 / 12500원 - 면접 후 협의가능 ,퇴직금,14:00~17:00,주간,주5일근무,15,고용보험 산재보험 건강보험 국민연금,마감일 (2024-02-08),송파노인재가복지센터,서류  면접   ,방문 기타  ,,허영철,02-731-9535,서울일자리센터 취업상담팀,서울특별시 송파구 올림픽로 525  (풍납동) 현대아파트 상가동 1층105호,"(풍납동, 3등급 여자어르신, 14:00~17:00) 재가요양보호사 채용",2024-01-29,(시급)12500원 / 서울 송파구 / 경력 무관,37.528909,127.11817
